,Brand,Price,Panel_Type,Display,Screen_Resolution,Brightness,Response_Time,Refresh_Rate
174,Acer,"₹37,965",VA Panel,97.79 cm,WQHD,400 nits,,170 Hz
175,MSI,"₹26,499",VA Panel,86.36 cm,UWQHD,,1 ms,100 Hz
176,AOC,"₹8,999",IPS Panel,68.58 cm,Full HD,,1 ms,100 Hz
177,Frontech,"₹2,699",TN Panel,46.99 cm,HD,,5 ms,60 Hz
178,Lenovo,"₹16,699",VA Panel,68.58 cm,Full HD,350 nits,,280 Hz
179,BenQ,"₹18,990",IPS Panel,68.58 cm,Full HD,280 nits,1 ms,165 Hz
180,Acer,"₹12,995",IPS Panel,80.01 cm,Full HD,300 nits,4 ms,60 Hz
181,Lenovo,"₹11,990",IPS Panel,38.1 cm,Full HD,,6 ms,60 Hz
182,ZEBRONICS,"₹7,104",VA Panel,54.61 cm,Full HD,250 nits,,75 Hz
183,ZEBRONICS,"₹14,999",VA Panel,68.58 cm,Full HD,300 nits,1 ms,180 Hz
184,rionix,"₹2,525",TN Panel,48.26 cm,HD,250 nits,5 ms,60 Hz
185,HP,"₹16,490",IPS Panel,68.58 cm,Full HD,300 nits,5 ms,100 Hz
186,PHILIPS,"₹10,413",VA Panel,54.61 cm,Full HD,250 nits,4 ms,75 Hz
187,ZEBRONICS,"₹19,599",VA Panel,76.2 cm,WFHD,300 nits,1 ms,200 Hz
188,Lenovo,"₹18,190",VA Panel,68.58 cm,Quad HD,350 nits,,180 Hz
189,Foxin,"₹6,899",VA Panel,60.96 cm,Full HD,,5 ms,100 Hz
190,ZEBSTER,"₹3,693",AHVA Panel,55.88 cm,Full HD,,5 ms,240 Hz
191,Frontech,"₹6,699",VA Panel,60.96 cm,Full HD,250 nits,5 ms,100 Hz
192,LG,"₹25,499",IPS Panel,68.58 cm,4K Ultra HD,,5 ms,60 Hz
193,MSI,"₹8,499",IPS Panel,60.45 cm,Full HD,300 nits,1 ms,100 Hz
194,Lenovo,"₹14,199",VA Panel,80.01 cm,Full HD,250 nits,4 ms,60 Hz
195,Lenovo,"₹11,025",IPS Panel,68.58 cm,Full HD,300 nits,4 ms,100 Hz
196,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
197,Acer,"₹9,499",IPS Panel,60.45 cm,Full HD,250 nits,,200 Hz
198,Samsung,"₹30,899",VA Panel,80.0 cm,4K Ultra HD,300 nits,4 ms,60 Hz
199,LG,"₹1,24,999",IPS Panel,124.46 cm,DQHD,400 nits,5 ms,144 Hz
200,MSI,"₹11,999",IPS Panel,40.64 cm,Full HD,250 nits,4 ms,60 Hz
201,BenQ,"₹51,998",IPS Panel,81.28 cm,4K Ultra HD,550 nits,5 ms,60 Hz
202,Samsung,"₹20,799",IPS Panel,68.58 cm,Full HD,400 nits,1 ms,240 Hz
203,DELL,"₹34,599",VA Panel,81.28 cm,4K Ultra HD,300 nits,4 ms,120 Hz
204,MSI,"₹6,835",VA Panel,60.96 cm,Full HD,,1 ms,100 Hz
205,Enter,"₹2,747",,48.26 cm,HD,,5 ms,60 Hz
206,Acer,"₹5,499",TN Panel,49.53 cm,HD,200 nits,6 ms,75 Hz
207,Enter,"₹5,233",IPS Panel,55.88 cm,HD,250 nits,5 ms,75 Hz
208,Samsung,"₹31,000",VA Panel,81.28 cm,4K Ultra HD,300 nits,4 ms,60 Hz
209,Acer,"₹11,299",IPS Panel,68.58 cm,Full HD,400 nits,1 ms,200 Hz
210,LG,"₹28,990",IPS Panel,68.58 cm,Quad HD,350 nits,5 ms,75 Hz
211,ASUS,"₹12,999",IPS Panel,68.58 cm,Full HD,250 nits,1 ms,165 Hz
212,Acer,"₹6,999",IPS Panel,60.45 cm,Full HD,250 nits,1 ms,144 Hz
213,ViewSonic,"₹14,799",IPS Panel,73.66 cm,WFHD,,4 ms,75 Hz
214,Samsung,"₹7,199",IPS Panel,55.88 cm,Full HD,250 nits,5 ms,75 Hz
215,BenQ,"₹10,399",IPS Panel,60.45 cm,Full HD,,5 ms,60 Hz
216,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
217,LG,"₹14,699",IPS Panel,73.66 cm,Full HD,250 nits,5 ms,100 Hz
218,BenQ,"₹10,399",IPS Panel,60.45 cm,Full HD,,5 ms,60 Hz
219,Enter,"₹2,677",TN Panel,48.26 cm,HD,250 nits,5 ms,60 Hz
220,HP,"₹19,999",VA Panel,68.58 cm,Full HD,350 nits,1 ms,165 Hz
221,Lenovo,"₹15,799",IPS Panel,60.45 cm,Full HD,350 nits,,144 Hz
222,Samsung,"₹12,199",IPS Panel,60.96 cm,Full HD,250 nits,4 ms,100 Hz
223,DELL,"₹20,999",IPS Panel,60.96 cm,WQHD,350 nits,5 ms,100 Hz
224,LG,"₹16,800",IPS Panel,73.66 cm,WFHD,250 nits,5 ms,100 Hz
225,DELL,"₹9,599",IPS Panel,60.96 cm,Full HD,250 nits,5 ms,100 Hz
226,BenQ,"₹39,989",IPS Panel,68.58 cm,4K Ultra HD,400 nits,5 ms,60 Hz
227,MSI,"₹15,499",IPS Panel,68.58 cm,WQHD,400 nits,1 ms,100 Hz
228,LG,"₹20,449",IPS Panel,81.28 cm,Quad HD,250 nits,5 ms,100 Hz
229,MILLENNIUM,"₹2,654",,48.26 cm,HD,,3 ms,60 Hz
230,ViewSonic,"₹9,290",IPS Panel,60.96 cm,Full HD,,1 ms,180 Hz
231,Enter,"₹2,834",,46.99 cm,HD,,5 ms,60 Hz
232,Enter,"₹2,886",VA Panel,48.26 cm,HD,250 nits,5 ms,60 Hz
233,LG,"₹33,999",IPS Panel,108.0 cm,4K Ultra HD,300 nits,5 ms,60 Hz
